# 词语	拼音	主码	权重	词长	附加词码
阿莲	a lian	aalm	64	2	aalmn aalmnt
阿联酋	a lian qiu	aalmqq	481	3	aalmqqn aalmqqnc
阿伦	a lun	aalp	287	2	aalpn aalpno
阿龙	a long	aals	243	2	aalsn aalsni
阿隆索	a long suo	aalsso	373	3	aalsson aalssonj
阿妈	a ma	aama	456	2	aaman aamanv
阿门	a men	aamf	226	2	aamfn aamfnl
阿蒙	a meng	aamg	110	2	aamgn aamgnt
阿米	a mi	aami	95	2	aamin aaminf
阿曼	a man	aamj	259	2	aamjn aamjna
阿毛	a mao	aamk	134	2	aamkn aamknh
阿猫	a mao	aamk	104	2	aamkn aamknk
阿莫西林	a mo xi lin	aamoxiln	126	4	aamoxilnn aamoxilnnd
阿木	a mu	aamu	301	2	aamun aamund
阿明	a ming	aamy	181	2	aamyn aamyna
阿妹	a mei	aamz	207	2	aamzn aamznv
阿美	a mei	aamz	146	2	aamzn aamznt
阿梅	a mei	aamz	129	2	aamzn aamznd
阿诺	a nuo	aano	150	2	aanon aanoni
阿片	a pian	aapm	59	2	aapmn aapmnl
阿婆	a po	aapo	390	2	aapon aapone
阿强	a qiang	aaqd	113	2	aaqdn aaqdnn
阿瑟	a se	aase	178	2	aasen aasenm
阿森纳	a sen na	aasfna	1676	3	aasfnan aasfnanv
阿斯巴甜	a si ba tian	aasibatm	38	4	aasibatmn aasibatmnh
阿司匹林	a si pi lin	aasipiln	260	4	aasipilnn aasipilnnd
阿三	a san	aasj	212	2	aasjn aasjnm
阿塞拜疆	a sai bai jiang	aaslbljd	141	4	aaslbljdn aaslbljdnn
阿特拉斯	a te la si	aatelasi	121	4	aatelasin aatelasint
阿叔	a shu	aauu	86	2	aauun aauuny
阿朱	a zhu	aavu	97	2	aavun aavunh
阿昔洛韦	a xi luo wei	aaxilowz	53	4	aaxilowzn aaxilowznq
阿信	a xin	aaxn	289	2	aaxnn aaxnno
阿修罗	a xiu luo	aaxqlo	334	3	aaxqlon aaxqlonw
阿雅	a ya	aaya	192	2	aayan aayanm
啊呀	a ya	aaya	70	2	aayar aayarr
阿姨	a yi	aayi	3505	2	aayin aayinv
阿紫	a zi	aazi	187	2	aazin aaziny
爱的	ai de	ad	20099	2	adb adbh aide aideb aidebh
澳大利亚	ao da li ya	adly	4698	4	adlye adlyem aodaliya aodaliyae aodaliyaem
安徽	an hui	ah	15186	2	ahj ahjh anhv anhvj anhvjh
昂昂	ang ang	ahah	95	2	ahaha ahahaa
昂昂溪	ang ang xi	ahahxi	128	3	ahahxia ahahxiae
昂达	ang da	ahda	3190	2	ahdaa ahdaay
昂贵	ang gui	ahgv	1445	2	ahgva ahgval
盎然	ang ran	ahrj	758	2	ahrjl ahrjlb
昂然	ang ran	ahrj	107	2	ahrja ahrjab
盎司	ang si	ahsi	500	2	ahsil ahsils
昂首	ang shou	ahub	343	2	ahuba ahubat
昂扬	ang yang	ahyh	270	2	ahyha ahyhaq
肮脏	ang zang	ahzh	804	2	ahzhb ahzhbb
爱爱	ai ai	aiai	961	2	aiaib aiaibb
皑皑	ai ai	aiai	210	2	aiaih aiaihh
唉唉	ai ai	aiai	175	2	aiair aiairr
艾艾	ai ai	aiai	80	2	aiait aiaitt
矮矮	ai ai	aiai	68	2	aiaio aiaioo
癌变	ai bian	aibm	208	2	aibmk aibmky
爱不	ai bu	aibu	1938	2	aibub aibubm
爱不爱	ai bu ai	aibuai	347	3	aibuaib aibuaibb
艾草	ai cao	aick	85	2	aickt aicktt
爱才	ai cai	aicl	224	2	aiclb aiclbd
爱财	ai cai	aicl	72	2	aiclb aiclbb
爱错	ai cuo	aico	145	2	aicob aicobo
挨打	ai da	aida	455	2	aidaq aidaqq
爱打	ai da	aida	101	2	aidab aidabq
爱得	ai de	aide	1023	2	aideb aidebh
矮的	ai de	aide	204	2	aideo aideoh
爱德	ai de	aide	188	2	aideb aidebh
爱德华	ai de hua	aidehw	631	3	aidehwb aidehwbo
爱德华兹	ai de hua zi	aidehwzi	42	4	aidehwzib aidehwzibt
埃德蒙顿	ai de meng dun	aidemgdp	30	4	aidemgdpg aidemgdpgp
爱的人	ai de ren	aiderf	4439	3	aiderfb aiderfbo
艾迪	ai di	aidi	166	2	aidit aidity
爱迪生	ai di sheng	aidiug	229	3	aidiugb aidiugbh
爱到	ai dao	aidk	942	2	aidkb aidkbm
哀悼	ai dao	aidk	739	2	aidky aidkyp
挨到	ai dao	aidk	113	2	aidkq aidkqm
爱戴	ai dai	aidl	595	2	aidlb aidlbj
爱动	ai dong	aids	98	2	aidsb aidsbm
爱丁堡	ai ding bao	aidybk	202	3	aidybkb aidybkbo
挨饿	ai e	aiee	198	2	aieeq aieeqn
艾尔	ai er	aier	322	2	aiert aiertn
埃尔	ai er	aier	168	2	aierg aiergn
爱尔兰	ai er lan	aierlj	1224	3	aierljb aierljbt
爱尔兰人	ai er lan ren	aierljrf	40	4	aierljrfb aierljrfbo
爱抚	ai fu	aifu	328	2	aifub aifubq
埃弗顿	ai fu dun	aifudp	271	3	aifudpg aifudpgp
艾弗森	ai fu sen	aifusf	556	3	aifusft aifusftd
挨个	ai ge	aige	206	2	aigeq aigeqo
矮个	ai ge	aige	64	2	aigeo aigeoo
哀歌	ai ge	aige	55	2	aigey aigeym
爱岗敬业	ai gang jing ye	aighjyye	205	4	aighjyyeb aighjyyebt
爱国	ai guo	aigo	7891	2	aigob aigobw
爱过	ai guo	aigo	2913	2	aigob aigoby
挨过	ai guo	aigo	109	2	aigoq aigoqy
爱国者	ai guo zhe	aigove	4163	3	aigoveb aigovebj
爱管闲事	ai guan xian shi	aigrxmui	39	4	aigrxmuib aigrxmuibj
艾哈迈德	ai ha mai de	aihamlde	30	4	aihamldet aihamldeth
爱河	ai he	aihe	329	2	aiheb aihebe
爱恨	ai hen	aihf	692	2	aihfb aihfbp
爱好	ai hao	aihk	8289	2	aihkb aihkbv
哀嚎	ai hao	aihk	131	2	aihky aihkyr
哀号	ai hao	aihk	121	2	aihky aihkyr
爱好者	ai hao zhe	aihkve	3890	3	aihkveb aihkvebj
爱火	ai huo	aiho	89	2	aihob aihobf
哀鸿遍野	ai hong bian ye	aihsbmye	30	4	aihsbmyey aihsbmyeyw
爱护	ai hu	aihu	1518	2	aihub aihubq
挨户	ai hu	aihu	92	2	aihuq aihuqi
爱辉	ai hui	aihv	59	2	aihvb aihvbf
爱华	ai hua	aihw	417	2	aihwb aihwbo
矮化	ai hua	aihw	59	2	aihwo aihwoo
哀愁	ai chou	aiib	415	2	aiiby aiibyh
爱车	ai che	aiie	1363	2	aiieb aiiebk
爱称	ai cheng	aiig	51	2	aiigb aiigbh
爱城	ai cheng	aiig	50	2	aiigb aiigbg
爱吃	ai chi	aiii	1819	2	aiiib aiiibr
爱巢	ai chao	aiik	191	2	aiikb aiikbv
爱将	ai jiang	aijd	155	2	aijdb aijdbl
埃及	ai ji	aiji	2494	2	aijig aijign
艾灸	ai jiu	aijq	102	2	aijqt aijqtn
爱家	ai jia	aijw	512	2	aijwb aijwbj
挨家	ai jia	aijw	102	2	aijwq aijwqj
哀家	ai jia	aijw	93	2	aijwy aijwyj
爱看	ai kan	aikj	9146	2	aikjb aikjbh
爱哭	ai ku	aiku	431	2	aikub aikubr
爱了	ai le	aile	1415	2	aileb ailebn
挨了	ai le	aile	314	2	aileq aileqn
矮了	ai le	aile	87	2	aileo aileon
爱里	ai li	aili	157	2	ailib ailibw
爱理不理	ai li bu li	ailibuli	107	4	ailibulib ailibulibm
埃里克森	ai li ke sen	ailikesf	73	4	ailikesfg ailikesfgd
爱丽丝	ai li si	ailisi	578	3	ailisib ailisibv
爱丽舍	ai li she	ailiue	738	3	ailiueb ailiuebo
爱立信	ai li xin	ailixn	3658	3	ailixnb ailixnbo
爱恋	ai lian	ailm	1318	2	ailmb ailmby
爱怜	ai lian	ailm	198	2	ailmb ailmbp
艾伦	ai lun	ailp	527	2	ailpt ailpto
爱侣	ai lv	ailv	309	2	ailvb ailvbo
挨骂	ai ma	aima	221	2	aimaq aimaqr
艾玛	ai ma	aima	221	2	aimat aimatm
爱玛	ai ma	aima	112	2	aimab aimabm
爱面子	ai mian zi	aimmzi	141	3	aimmzib aimmzibn
爱民	ai min	aimn	609	2	aimnb aimnbr
爱莫能助	ai mo neng zhu	aimongvu	62	4	aimongvub aimongvubb
爱慕	ai mu	aimu	681	2	aimub aimubt
哀鸣	ai ming	aimy	117	2	aimyy aimyyr
暧昧	ai mei	aimz	3469	2	aimza aimzaa
爱美	ai mei	aimz	1379	2	aimzb aimzbt
爱女	ai nv	ainv	297	2	ainvb ainvbv
矮胖	ai pang	aiph	88	2	aipho aiphob
挨批	ai pi	aipi	70	2	aipiq aipiqq
爱普生	ai pu sheng	aipuug	2920	3	aipuugb aipuugbh
爱妻	ai qi	aiqi	398	2	aiqib aiqibj
爱钱	ai qian	aiqm	140	2	aiqmb aiqmbo
爱琴	ai qin	aiqn	445	2	aiqnb aiqnbm
爱琴海	ai qin hai	aiqnhl	275	3	aiqnhlb aiqnhlbe
爱群	ai qun	aiqp	62	2	aiqpb aiqpbs
哀求	ai qiu	aiqq	456	2	aiqqy aiqqyi
爱犬	ai quan	aiqr	382	2	aiqrb aiqrbi
爱卿	ai qing	aiqy	104	2	aiqyb aiqybh
艾青	ai qing	aiqy	87	2	aiqyt aiqytq
爱情观	ai qing guan	aiqygr	244	3	aiqygrb aiqygrbe
爱情里	ai qing li	aiqyli	557	3	aiqylib aiqylibw
爱情片	ai qing pian	aiqypm	561	3	aiqypmb aiqypmbl
爱情是	ai qing shi	aiqyui	1919	3	aiqyuib aiqyuiba
爱人	ai ren	airf	5494	2	airfb airfbo
矮人	ai ren	airf	821	2	airfo airfoo
矮人族	ai ren zu	airfzu	376	3	airfzuo airfzuoy
爱死	ai si	aisi	463	2	aisib aisibm
哀思	ai si	aisi	195	2	aisiy aisiyw
爱斯基摩	ai si ji mo	aisijimo	69	4	aisijimob aisijimobi
爱他	ai ta	aita	2462	2	aitab aitabo
爱她	ai ta	aita	1885	2	aitab aitabv
哀叹	ai tan	aitj	230	2	aitjy aitjyr
哀痛	ai tong	aits	92	2	aitsy aitsyk
爱徒	ai tu	aitu	88	2	aitub aitubh
爱听	ai ting	aity	581	2	aityb aitybr
爱沙尼亚	ai sha ni ya	aiuaniya	159	4	aiuaniyab aiuaniyabm
爱神	ai shen	aiuf	374	2	aiufb aiufbi
爱生	ai sheng	aiug	118	2	aiugb aiugbh
唉声叹气	ai sheng tan qi	aiugtjqi	114	4	aiugtjqir aiugtjqiro
爱上	ai shang	aiuh	10228	2	aiuhb aiuhby
哀伤	ai shang	aiuh	994	2	aiuhy aiuhyo
爱上他	ai shang ta	aiuhta	330	3	aiuhtab aiuhtabo
爱上我	ai shang wo	aiuhwo	574	3	aiuhwob aiuhwobh
爱是	ai shi	aiui	3029	2	aiuib aiuiba
碍事	ai shi	aiui	100	2	aiuim aiuimj
爱说	ai shuo	aiuo	279	2	aiuob aiuobi
爱书	ai shu	aiuu	174	2	aiuub aiuubi
爱着	ai zhe	aive	2971	2	aiveb aivebt
挨着	ai zhe	aive	407	2	aiveq aiveqt
爱着你	ai zhe ni	aiveni	689	3	aivenib aivenibo
癌症	ai zheng	aivg	2634	2	aivgk aivgkk
爱之	ai zhi	aivi	705	2	aivib aivibi
爱知	ai zhi	aivi	68	2	aivib aivibo
癌肿	ai zhong	aivs	54	2	aivsk aivskb
爱问	ai wen	aiwf	3745	2	aiwfb aiwfbl
埃文	ai wen	aiwf	58	2	aiwfg aiwfgy
爱玩	ai wan	aiwj	472	2	aiwjb aiwjbm
哀婉	ai wan	aiwj	68	2	aiwjy aiwjyv
爱我	ai wo	aiwo	7941	2	aiwob aiwobh
爱屋及乌	ai wu ji wu	aiwujiwu	78	4	aiwujiwub aiwujiwubp
爱笑	ai xiao	aixc	399	2	aixcb aixcbh
矮小	ai xiao	aixc	342	2	aixco aixcon
爱惜	ai xi	aixi	652	2	aixib aixibp
癌细胞	ai xi bao	aixibk	475	3	aixibkk aixibkkb
爱心	ai xin	aixn	8164	2	aixnb aixnbp
爱新觉罗	ai xin jue luo	aixnjtlo	92	4	aixnjtlob aixnjtlobw
哎呀	ai ya	aiya	695	2	aiyar aiyarr
哎呀呀	ai ya ya	aiyaya	147	3	aiyayar aiyayarr
哎呦	ai you	aiyb	102	2	aiybr aiybrr
爱意	ai yi	aiyi	937	2	aiyib aiyiby
爱一个人	ai yi ge ren	aiyigerf	2052	4	aiyigerfb aiyigerfbo
碍眼	ai yan	aiyj	81	2	aiyjm aiyjmb
埃因霍温	ai yin huo wen	aiynhowf	141	4	aiynhowfg aiynhowfge
爱因斯坦	ai yin si tan	aiynsitj	647	4	aiynsitjb aiynsitjbg
哎哟	ai yo	aiyo	267	2	aiyor aiyorr
哀怨	ai yuan	aiyr	425	2	aiyry aiyryn
爱用	ai yong	aiys	203	2	aiysb aiysbb
哀乐	ai yue	aiyt	773	2	aiyty aiytyh
爱乐	ai yue	aiyt	439	2	aiytb aiytbh
爱与	ai yu	aiyu	1491	2	aiyub aiyuby
碍于	ai yu	aiyu	249	2	aiyum aiyumm
爱欲	ai yu	aiyu	122	2	aiyub aiyubc
爱走	ai zou	aizb	115	2	aizbb aizbbg
挨揍	ai zou	aizb	82	2	aizbq aizbqq
艾泽拉斯	ai ze la si	aizelasi	138	4	aizelasit aizelasitt
爱憎	ai zeng	aizg	93	2	aizgb aizgbp
艾滋	ai zi	aizi	2417	2	aizit aizite
爱子	ai zi	aizi	312	2	aizib aizibn
爱滋	ai zi	aizi	152	2	aizib aizibe
矮子	ai zi	aizi	146	2	aizio aizion
艾滋病	ai zi bing	aiziby	1945	3	aizibyt aizibytk
爱滋病	ai zi bing	aiziby	103	3	aizibyb aizibybk
爱自己	ai zi ji	aiziji	1546	3	aizijib aizijibs
爱在	ai zai	aizl	1776	2	aizlb aizlbk
案例	an li	al	13954	2	alj aljo anli anlij anlijo
爱你	ai ni	an	17898	2	anb anbo aini ainib ainibo
暗暗	an an	anan	1519	2	anana ananaa
安安	an an	anan	789	2	ananj ananjj
安邦	an bang	anbh	172	2	anbhj anbhjh
按比例	an bi li	anbili	217	3	anbiliq anbiliqo
案板	an ban	anbj	93	2	anbjj anbjjd
安保	an bao	anbk	1031	2	anbkj anbkjo
岸边	an bian	anbm	794	2	anbmu anbmuy
暗部	an bu	anbu	97	2	anbua anbuay
按部就班	an bu jiu ban	anbujqbj	250	4	anbujqbjq anbujqbjqm
按兵	an bing	anby	97	2	anbyq anbyqo
安倍	an bei	anbz	209	2	anbzj anbzjo
安倍晋三	an bei jin san	anbzjnsj	43	4	anbzjnsjj anbzjnsjjm
暗藏	an cang	anch	736	2	ancha anchat
按此	an ci	anci	217	2	anciq anciqy
安次	an ci	anci	120	2	ancij anciji
暗斗	an dou	andb	256	2	andba andbay
安德	an de	ande	394	2	andej andejh
暗的	an de	ande	323	2	andea andeah
安得	an de	ande	126	2	andej andejh
按的	an de	ande	69	2	andeq andeqh
安德鲁	an de lu	andelu	307	3	andeluj andelujn
安德烈	an de lie	andelx	356	3	andelxj andelxjm
安德森	an de sen	andesf	379	3	andesfj andesfjd
暗地	an di	andi	498	2	andia andiag
安迪	an di	andi	350	2	andij andijy
暗地里	an di li	andili	280	3	andilia andiliaw
暗淡	an dan	andj	760	2	andja andjae
黯淡	an dan	andj	603	2	andjw andjwe
氨氮	an dan	andj	149	2	andjo andjoo
暗道	an dao	andk	237	2	andka andkay
按到	an dao	andk	86	2	andkq andkqm
安多	an duo	ando	88	2	andoj andojn
安顿	an dun	andp	349	2	andpj andpjp
安东	an dong	ands	270	2	andsj andsjk
安东尼	an dong ni	andsni	571	3	andsnij andsnijs
安度	an du	andu	120	2	anduj anduji
暗渡陈仓	an du chen cang	anduifch	72	4	anduifcha anduifchao
暗度陈仓	an du chen cang	anduifch	58	4	anduifcha anduifchao
安定	an ding	andy	2342	2	andyj andyjj
安定门	an ding men	andymf	383	3	andymfj andymfjl
案发	an fa	anfa	459	2	anfaj anfaji
安分	an fen	anff	575	2	anffj anffjc
安分守己	an fen shou ji	anffubji	83	4	anffubjij anffubjijs
暗讽	an feng	anfg	66	2	anfga anfgai
安防	an fang	anfh	3168	2	anfhj anfhjn
暗访	an fang	anfh	477	2	anfha anfhai
安放	an fang	anfh	459	2	anfhj anfhjy
暗房	an fang	anfh	97	2	anfha anfhah
案犯	an fan	anfj	90	2	anfjj anfjjk
安抚	an fu	anfu	934	2	anfuj anfujq
安福	an fu	anfu	231	2	anfuj anfuji
安哥拉	an ge la	angela	374	3	angelaj angelajq
鞍钢	an gang	angh	475	2	anght anghto
安国	an guo	ango	382	2	angoj angojw
安国市	an guo shi	angoui	109	3	angouij angouijy
按规定	an gui ding	angvdy	1188	3	angvdyq angvdyqj
暗合	an he	anhe	73	2	anhea anheao
暗河	an he	anhe	55	2	anhea anheae
暗含	an han	anhj	120	2	anhja anhjao
安好	an hao	anhk	250	2	anhkj anhkjv
暗号	an hao	anhk	228	2	anhka anhkar
暗红	an hong	anhs	143	2	anhsa anhsav
暗红色	an hong se	anhsse	195	3	anhssea anhssean
安徽省	an hui sheng	anhvug	3226	3	anhvugj anhvugjf
安华	an hua	anhw	340	2	anhwj anhwjo
安化	an hua	anhw	186	2	anhwj anhwjo
暗花	an hua	anhw	73	2	anhwa anhwat
暗黑	an hei	anhz	1805	2	anhza anhzaw
安插	an cha	ania	105	2	aniaj aniajq
暗疮	an chuang	anid	273	2	anida anidak
暗沉	an chen	anif	204	2	anifa anifae
暗潮	an chao	anik	183	2	anika anikae
鹌鹑	an chun	anip	289	2	anipk anipky
鹌鹑蛋	an chun dan	anipdj	100	3	anipdjk anipdjkn
暗处	an chu	aniu	273	2	aniua aniuah
暗礁	an jiao	anjc	91	2	anjca anjcam
暗叫	an jiao	anjc	70	2	anjca anjcar
安吉	an ji	anji	1086	2	anjij anjijg
氨基	an ji	anji	848	2	anjio anjiot
按季	an ji	anji	50	2	anjiq anjiqh
安吉尔	an ji er	anjier	174	3	anjierj anjierjn
按计划	an ji hua	anjihw	299	3	anjihwq anjihwqi
氨基酸	an ji suan	anjisr	1227	3	anjisro anjisrom
安吉县	an ji xian	anjixm	149	3	anjixmj anjixmjb
案件	an jian	anjm	7292	2	anjmj anjmjo
按键	an jian	anjm	2192	2	anjmq anjmqo
安检	an jian	anjm	799	2	anjmj anjmjd
安监	an jian	anjm	716	2	anjmj anjmjl
暗箭	an jian	anjm	113	2	anjma anjmah
安监局	an jian ju	anjmju	346	3	anjmjuj anjmjujs
案卷	an juan	anjr	127	2	anjrj anjrjf
安居	an ju	anju	1224	2	anjuj anjujs
安家	an jia	anjw	514	2	anjwj anjwjj
俺家	an jia	anjw	270	2	anjwo anjwoj
按揭	an jie	anjx	1320	2	anjxq anjxqq
安杰	an jie	anjx	70	2	anjxj anjxjd
安静	an jing	anjy	8458	2	anjyj anjyjq
安可	an ke	anke	113	2	ankej ankejm
安康	an kang	ankh	1797	2	ankhj ankhji
安康市	an kang shi	ankhui	140	3	ankhuij ankhuijy
安拉	an la	anla	141	2	anlaj anlajq
安乐	an le	anle	800	2	anlej anlejh
按了	an le	anle	312	2	anleq anleqn
暗了	an le	anle	213	2	anlea anlean
安了	an le	anle	131	2	anlej anlejn
安乐死	an le si	anlesi	171	3	anlesij anlesijm
安利	an li	anli	1149	2	anlij anlijh
按理	an li	anli	262	2	anliq anliqm
暗里	an li	anli	96	2	anlia anliaw
安理会	an li hui	anlihv	383	3	anlihvj anlihvjo
按理说	an li shuo	anliuo	177	3	anliuoq anliuoqi
按劳分配	an lao fen pei	anlkffpz	76	4	anlkffpzq anlkffpzqm
暗恋	an lian	anlm	1550	2	anlma anlmay
氨纶	an lun	anlp	240	2	anlpo anlpov
暗流	an liu	anlq	471	2	anlqa anlqae
安龙	an long	anls	209	2	anlsj anlsji
安陆	an lu	anlu	207	2	anluj anlujn
暗骂	an ma	anma	146	2	anmaa anmaar
鞍马	an ma	anma	94	2	anmat anmatn
俺们	an men	anmf	712	2	anmfo anmfoo
安眠	an mian	anmm	424	2	anmmj anmmjb
安眠药	an mian yao	anmmyk	275	3	anmmykj anmmykjt
安民	an min	anmn	162	2	anmnj anmnjr
按摩	an mo	anmo	8536	2	anmoq anmoqi
按摩器	an mo qi	anmoqi	723	3	anmoqiq anmoqiqr
按摩师	an mo shi	anmoui	934	3	anmouiq anmouiqi
安娜	an na	anna	1039	2	annaj annajv
按捺	an na	anna	260	2	annaq annaqq
安妮	an ni	anni	1080	2	annij annijv
安南	an nan	annj	187	2	annjj annjjj
按年	an nian	annm	137	2	annmq annmqo
按钮	an niu	annq	3339	2	annqq annqqo
安宁	an ning	anny	2069	2	annyj annyjj
安内	an nei	annz	57	2	annzj annzjo
安排好	an pai hao	anplhk	686	3	anplhkj anplhkjv
安平	an ping	anpy	822	2	anpyj anpyjm
安平县	an ping xian	anpyxm	378	3	anpyxmj anpyxmjb
安培	an pei	anpz	98	2	anpzj anpzjg
安琪	an qi	anqi	684	2	anqij anqijm
暗器	an qi	anqi	350	2	anqia anqiar
按期	an qi	anqi	308	2	anqiq anqiqt
按其	an qi	anqi	280	2	anqiq anqiqt
氨气	an qi	anqi	155	2	anqio anqioo
安琪儿	an qi er	anqier	161	3	anqierj anqierjl
安丘	an qiu	anqq	302	2	anqqj anqqjo
安丘市	an qiu shi	anqqui	185	3	anqquij anqquijy
安全部	an quan bu	anqrbu	109	3	anqrbuj anqrbujy
安全带	an quan dai	anqrdl	755	3	anqrdlj anqrdljt
安全阀	an quan fa	anqrfa	296	3	anqrfaj anqrfajl
安全感	an quan gan	anqrgj	1878	3	anqrgjj anqrgjji
安全局	an quan ju	anqrju	134	3	anqrjuj anqrjujs
安全帽	an quan mao	anqrmk	181	3	anqrmkj anqrmkjl
安全期	an quan qi	anqrqi	277	3	anqrqij anqrqijt
安全套	an quan tao	anqrtk	709	3	anqrtkj anqrtkjk
安全网	an quan wang	anqrwh	197	3	anqrwhj anqrwhjb
安全性	an quan xing	anqrxy	2361	3	anqrxyj anqrxyjp
安切洛蒂	an qie luo di	anqxlodi	218	4	anqxlodij anqxlodijt
安庆	an qing	anqy	2422	2	anqyj anqyji
案情	an qing	anqy	473	2	anqyj anqyjp
安庆市	an qing shi	anqyui	296	3	anqyuij anqyuijy
安仁	an ren	anrf	226	2	anrfj anrfjo
按日	an ri	anri	57	2	anriq anriqa
安然	an ran	anrj	1260	2	anrjj anrjjb
黯然	an ran	anrj	1142	2	anrjw anrjwb
岸然	an ran	anrj	128	2	anrju anrjub
暗色	an se	anse	112	2	ansea ansean
安塞	an sai	ansl	152	2	anslj ansljj
暗算	an suan	ansr	373	2	ansra ansrah
案头	an tou	antb	122	2	antbj antbjy
安特卫普	an te wei pu	antewzpu	62	4	antewzpuj antewzpujt
暗叹	an tan	antj	121	2	antja antjar
安泰	an tai	antl	465	2	antlj antljq
安胎	an tai	antl	91	2	antlj antljb
按天	an tian	antm	55	2	antmq antmqm
安图	an tu	antu	302	2	antuj antujw
按图	an tu	antu	51	2	antuq antuqw
按图索骥	an tu suo ji	antusoji	54	4	antusojiq antusojiqn
安徒生	an tu sheng	antuug	310	3	antuugj antuugjh
安图县	an tu xian	antuxm	224	3	antuxmj antuxmjb
暗杀	an sha	anua	749	2	anuaa anuaak
安神	an shen	anuf	367	2	anufj anufji
