# 四简（强制截断）
颢	afmb
殪	mngb
殁	mnhn
殡	mnjo
殃	mnlb
蛩	mnlm
殛	mnme
殛	mnne
殄	mnoh
殓	mnom
殒	mnrb
跫	mnry
觋	mobh
碣	mrap
碉	mrbg
硐	mrbm
碉	mrbq
碴	mrda
碴	mrdb
磉	mree
磲	mres
磷	mrfd
硌	mrhe
砭	mrhi
斫	mrhm
矾	mrhn
砜	mrhn
砥	mrhp
硪	mrhq
碥	mrhs
舐	mrhv
砥	mrhv
砾	mrhv
硇	mrhw
碱	mrih
碜	mrik
碥	mris
碹	mrjm
碇	mrjm
硗	mrjp
砩	mrll
硕	mrmb
硒	mrmc
砰	mrmf
硎	mrmj
硎	mrmk
硬	mrml
砺	mrmm
磊	mrmr
硎	mrmt
砑	mrmv
礓	mrmw
确	mrnb
确	mrnb
碌	mrnm
磴	mrno
磔	mrnq
砀	mrns
码	mrnv
硷	mrom
砌	mrps
碡	mrqm
碡	mrqm
碡	mrqm
碛	mrqm
碾	mrst
碘	mrtb
礤	mrtb
礞	mrtb
礴	mrte
磋	mrth
磺	mrtl
磺	mrtm
磋	mrtq
碰	mrtt
碰	mrtt
磁	mrtv
硭	mrty
碳	mruk
碳	mrum
碌	mrvn
碲	mryb
磅	mryb
磙	mryc
礅	mryd
硫	mryi
硫	mryi
碚	mryt
虿	mslm
趸	msry
顽	mumb
醍	mwam
醌	mwap
酹	mwbd
酮	mwbm
酪	mwhe
醺	mwhg
酰	mwhg
酬	mwhl
覆	mwho
酿	mwia
酬	mwil
醣	mwil
醐	mwjr
醢	mwkr
酾	mwmb
酬	mwml
酝	mwmm
酽	mwmt
醑	mwno
醮	mwog
酴	mwom
醪	mwsm
醭	mwtc
醛	mwto
醴	mwtw
醚	mwyf
醯	mwyi
醵	mwyp
醇	mwyr
醅	mwyt
醯	mwyu
觞	nbon
鹬	nbpy
卺	nems
蟊	nhli
骘	nhnv
蝥	nklm
隰	nlav
陡	nlgy
隍	nlha
隆	nlhe
陲	nlhj
陷	nlhs
隗	nlhu
陴	nlhw
隋	nlkm
陋	nlmb
际	nlmm
阮	nlmm
隔	nlmr
陷	nlnh
陉	nlno
附	nlod
阶	nlol
除	nlom
险	nlom
陛	nlpp
陷	nlsh
隈	nlwm
隧	nlyc
防	nlyh
陟	nlyl
隧	nlyt
障	nlyt
陪	nlyt
陔	nlyv
鲥	nmad
鲫	nmai
鲲	nmap
鳎	nmas
鳗	nmaw
鳐	nmbo
骚	nmei
鳋	nmei
鲮	nmgc
鳇	nmha
鳅	nmhd
鲦	nmhe
骆	nmhe
骝	nmhh
鲧	nmhv
骢	nmhw
鲵	nmhx
骏	nmic
鲅	nmik
骖	nmik
鱿	nmik
鳙	nmil
鳊	nmis
骟	nmis
鲩	nmjm
鳍	nmjp
骁	nmjp
鲼	nmjt
骑	nmkm
鲣	nmle
驯	nmll
鲱	nmlm
骥	nmlp
骋	nmlw
鲡	nmmb
骊	nmmb
鲕	nmmb
颈	nmmb
鳕	nmmb
鲆	nmmf
鲠	nmml
鳜	nmmt
骠	nmmw
鳔	nmmw
鲺	nmnh
鳆	nmoa
驸	nmod
鲋	nmod
鲶	nmoi
骅	nmop
鲍	nmpr
鲽	nmpt
骤	nmse
鲰	nmsj
鲟	nmsm
骣	nmsn
鳓	nmtj
骐	nmtm
鳝	nmtt
鳟	nmtw
鳢	nmtw
鲴	nmwj
鳏	nmwl
鳏	nmwl
骡	nmwv
鲛	nmyc
鲂	nmyh
疏	nmyi
疏	nmyi
巯	nmyi
鲚	nmyk
鲢	nmyk
鲸	nmyr
骧	nmyr
骇	nmyv
预	nnmb
鬻	nnmr
鼐	nsbu
鼐	nsbu
鸳	nupy
馄	nvap
饷	nvhb
馏	nvhh
饿	nvhq
馊	nvhx
饽	nvjb
馕	nvjb
饶	nvjp
蚀	nvlm
馅	nvnh
饧	nvns
馋	nvnu
饬	nvok
馀	nvom
饩	nvom
饲	nvsm
馍	nvta
馓	nvtb
馑	nvtl
馐	nvtq
鹪	ofpy
鹤	ogpy
瓴	oimv
矫	okhk
短	okmr
鳘	oknw
矬	okoo
瓴	olmv
氲	onab
氡	onhe
氡	onhe
毹	onhq
氪	onjr
氚	onll
氟	onll
氩	onmt
氖	onnh
氯	onnm
氯	onvn
镅	opah
锝	opam
锡	opap
锟	opap
镘	opaw
锊	opbd
锾	opbm
铜	opbm
锄	opbm
铡	opbo
锑	opcn
铍	opdh
铴	open
镗	opfb
锁	opfb
镂	opfd
锩	opfq
铛	opfs
锦	opha
锹	ophd
锈	ophd
锋	ophe
铬	ophe
铥	ophg
锆	ophg
铣	ophg
钐	ophh
铆	ophh
镏	ophh
铢	ophj
锻	ophj
锺	ophj
锤	ophj
锸	ophj
锨	ophl
钒	ophn
铅	ophn
锇	ophq
镍	ophu
铄	ophv
锼	ophx
锒	opia
铖	opih
铺	opij
钹	opik
镛	opil
镳	opip
铽	opip
镰	opit
镀	opit
镇	opjb
镲	opjb
镩	opjc
锗	opjk
铑	opjk
铐	opjk
锭	opjm
镓	opjm
镔	opjo
铙	opjp
镣	opkc
锛	opkj
钸	opkl
铿	ople
钔	opli
钏	opll
锵	oplm
铫	oplm
镄	opln
锏	opls
锎	opls
镧	opls
镭	opmb
钰	opmg
铘	opmh
钶	opmn
镉	opmr
镢	opmt
镖	opmw
镡	opmw
钲	opmy
钙	opmy
铯	opna
锰	opnd
铭	opni
铤	opnk
键	opnk
锕	opnl
镫	opno
镪	opnr
铮	opns
镥	opnw
镌	opog
铃	opoi
钤	opoi
铨	opom
铪	opom
锉	opoo
铧	opop
镎	opor
锪	opph
钧	oppi
锴	oppp
钨	oppv
锲	opqh
锖	opqm
铞	oprl
锃	oprm
锅	opro
锷	oprr
镊	opsj
锓	opsm
锔	opss
镆	opta
铹	optb
镨	optc
镤	optc
镒	optc
镁	optg
锘	optk
镬	opto
铠	opus
锱	opvv
黛	opwg
锢	opwj
镯	opwl
锣	opwl
镙	opwv
镑	opyb
镝	opyc
铰	opyc
镦	opyd
钪	opyh
钫	opyh
袋	opyh
铱	opyh
铳	opyi
锍	opyi
链	opyk
铈	opyl
镐	opyr
镶	opyr
锿	opyr
镞	opys
镟	opys
铲	opyt
锌	opyt
镱	opyt
锫	opyt
镜	opyt
铉	opyv
颔	ormb
翕	orsm
毹	ovhq
靓	qbbh
耥	qdfb
耨	qdmv
耢	qdtb
耩	qdtt
蛰	qilm
鸷	qipy
絷	qivi
蛰	qklm
骜	qknv
鳌	qknw
鸷	qkpy
絷	qkvi
蜇	qllm
踅	qlry
素	qmvi
纛	qmwh
纛	qmwj
纛	qmwy
韧	qssh
韧	qssh
蹋	rmas
跚	rmbb
蹈	rmbh
蹊	rmbv
蹲	rmcm
蹭	rmcw
跛	rmdh
躞	rmff
蹯	rmhd
跣	rmhg
踵	rmhj
踬	rmhj
踽	rmhl
跺	rmhn
跌	rmhq
蹁	rmhs
躜	rmhu
跞	rmhv
踉	rmia
跋	rmik
跋	rmik
蹁	rmis
踱	rmit
躔	rmiw
踮	rmiy
蹿	rmjc
跷	rmjp
跨	rmkm
跏	rmks
趼	rmmj
趼	rmmk
蹰	rmmm
蹶	rmmt
蹂	rmnh
趿	rmnh
踊	rmni
踺	rmnk
跪	rmnm
蹬	rmno
跗	rmod
踟	rmok
跸	rmpp
蹀	rmpt
蹑	rmsj
踞	rmsj
跽	rmsu
蹼	rmtc
蹉	rmth
躇	rmtj
踯	rmtk
躏	rmtl
蹒	rmtm
蹉	rmtq
蹲	rmtw
蹦	rmub
踹	rmum
躐	rmvv
躅	rmwl
踔	rmya
蹄	rmyb
跤	rmyc
蹴	rmyf
跹	rmyh
跻	rmyk
趾	rmyl
踣	rmyt
饕	rnoi
颚	rsmb
鹗	rspy
饕	ruoi
颞	semb
兔	shah
鬏	shhd
鬃	shjm
鹨	shpy
髫	shsh
聪	sjcr
聒	sjhj
耽	sjlb
聩	sjlm
甓	sjmv
襞	sjyh
譬	sjym
颐	slmb
鹊	tapy
黻	tbik
黻	tbik
颟	tbmb
鹣	tcpy
羹	tgft
鹳	tgpy
带	tjbl
鞒	tjhk
鞅	tjlb
鞔	tjna
鞣	tjnh
鞫	tjpy
鞔	tjsh
鞴	tjth
鞴	tjtm
鞲	tjtt
觐	tmbh
羚	tqoi
羚	tqom
翔	tqsm
羰	tquk
羰	tqum
瓶	ttmv
鹋	twpy
颛	ubmb
驽	venv
绲	vmap
缦	vmaw
绶	vmbb
绸	vmbg
缓	vmbm
缨	vmbo
缈	vmbu
绨	vmcn
缯	vmcw
缃	vmdb
缀	vmee
绱	vmfb
缕	vmfd
彝	vmff
绻	vmfq
绫	vmgc
缬	vmgr
绵	vmha
绣	vmhd
绦	vmhe
绛	vmhe
络	vmhe
缎	vmhj
缍	vmhj
绗	vmho
缴	vmhs
缵	vmhu
纸	vmhv
绺	vmhy
缚	vmib
缄	vmih
绂	vmik
编	vmis
缠	vmiw
缜	vmjb
绪	vmjk
综	vmjm
绽	vmjm
续	vmjn
缩	vmjo
缤	vmjo
绕	vmjp
绾	vmjr
缭	vmkc
绮	vmkm
绔	vmkm
纨	vmkn
纨	vmkn
缆	vmli
绋	vmll
缋	vmlm
绯	vmlm
缙	vmmc
绠	vmml
纭	vmmm
缛	vmmv
缥	vmmw
缅	vmmw
缰	vmmw
级	vmnh
纾	vmni
绿	vmnm
绉	vmns
绘	vmom
缏	vmom
缑	vmon
彘	vmpo
绑	vmqj
绳	vmrl
缗	vmrp
缲	vmrr
缉	vmrs
纫	vmsh
纫	vmsh
绍	vmsh
缪	vmsm
缢	vmtc
缂	vmtl
缮	vmtt
缣	vmtx
缘	vmvn
缫	vmvv
缁	vmvv
缳	vmwl
缧	vmwv
绰	vmya
缔	vmyb
绞	vmyc
缝	vmyh
缒	vmyh
纺	vmyh
缱	vmyl
缟	vmyr
缡	vmyu
鸶	vvmp
黪	wfik
黥	wfyr
罴	wlgi
罱	wljb
署	wljk
蜀	wlpl
罹	wlpo
詈	wlym
啻	yblb
睿	ybmc
觑	ycbh
兖	ycih
鸾	ycpy
颜	yhmb
频	yhmb
赣	yjhe
彰	yjhh
瓣	yjho
齑	ykll
蠃	yklm
斓	ykls
斋	ykmb
紊	ykvi
颤	ymmb
雌	ympo
蠃	ynlm
颃	ynmb
颦	yohw
颏	yomb
訾	ypym
觇	yrbh
颅	ysmb
旃	ysob
旃	ysob
旌	ysoh
旄	ysoh
旅	ysoh
於	ysoi
旆	ysoj
旖	ysok
旋	yson
族	ysoo
施	ysop
旎	ysos
旗	ysot
旒	ysoy
旒	ysoy
竟	ytah
竭	ytap
飒	ythn
端	ytum
龅	yupr
鹫	yupy
龆	yush
裔	yvbc
瓤	yvhv
